molecule_chembl_id,Smiles
CHEMBL3673484,COc1ccc(COc2ccc(Cn3c(=N)[nH]c4cc(-c5cncnc5)cnc43)cc2OC)cn1
CHEMBL2417630,c1ccc(-c2cnc(Cn3ccnc3)cn2)cc1
CHEMBL3901346,O=C(c1ccccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-n2nccn2)c1
CHEMBL3895759,O=C(c1cccc(Cl)c1-n1nccn1)N1CCOC[C@H]1Cc1cc(-c2ncccn2)ccc1F
CHEMBL3104383,CN(C)CCN1C(=O)c2cccc3c(-n4cccn4)ccc(c23)C1=O
CHEMBL2414850,COc1ccc(C2NC(=S)N3CCCCN23)cc1
CHEMBL2018447,NC(=O)CCN1CCc2c(c3ccccc3n2Cc2ccc(C(O)=NO)cc2)C1
CHEMBL3105502,CC(=O)Nc1ccc(NC(=O)c2sc3sccc3c2Cl)cc1
CHEMBL2132108,CC(=O)Nc1cccc(-c2csc(C(C)(O)c3ccccc3)n2)c1
CHEMBL3678304,COc1ccc(C(C)Oc2ccc(Cn3cnc4cc(-c5ccnn5C)cnc43)cc2OC)cn1
CHEMBL2140529,COc1ccc(C(=O)N2CCOC2CNC(=O)C(=O)NCc2ccccc2)cc1
CHEMBL3673481,COc1ccc(COc2ccc(Cn3c(=N)[nH]c4cc(-c5ccccc5)cnc43)cc2OC)cn1
CHEMBL3678302,COc1cc(Cn2cnc3cc(C#CCCO)cnc32)ccc1OCc1ccc(C(F)F)nc1
CHEMBL2414331,COc1ccn2cc(-c3cccc(-c4cncc(O[C@H]5CCOC5)c4)c3)nc2c1C(N)=O
CHEMBL3695230,O=C(O)C(CO)N=c1[nH]c2ccccc2n([C@@H]2C[C@@H]3CC[C@H](C2)N3C2CCCCCCC2)c1=O
CHEMBL2163994,Cc1c(N[C@H]2CC[C@H](N)CC2)[nH]c2ccnn2c1=Nc1ccc(F)c(Cl)c1
CHEMBL2005526,COc1ccc(NC(=O)CSc2nnc(CNc3ccc(C)cc3)n2C)cc1
CHEMBL549447,CCn1cc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c(=O)c2cc(F)c(N3CCNCC3)nc21
CHEMBL1870804,Cc1cccc(NC(=O)NC2(C(=O)NCc3ccco3)CCCCC2)c1
CHEMBL1704785,COC(=O)C1CCN(C(=O)COC(=O)COc2ccc(C#N)cc2)CC1
CHEMBL2332854,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1cccc(Oc2ncnc3[nH]ncc23)c1
CHEMBL1864145,COc1ccc(C(=O)OCC(=O)c2ccco2)cc1[N+](=O)[O-]
CHEMBL315105,Cc1cccc2c(C3=C(O)C(=O)C=C(O)C3=O)c[nH]c12
CHEMBL1900589,O=C(NCCN1CCOCC1)c1cccc(S(=O)(=O)Nc2ccc(Br)cc2)c1
CHEMBL35893,CCCCOc1cc(C2CNC(=S)C2)ccc1OC
CHEMBL2041777,Cc1cc(C)cc(Nc2ccc(C(=O)O)cc2)c1
CHEMBL1516491,N#CC(C(=O)CSC(=S)N1CCOCC1)c1nc2ccccc2[nH]1
CHEMBL161775,CS(=O)(=O)N1CC[C@@H]2CN3CCc4ccccc4[C@@H]3C[C@@H]2C1
CHEMBL2387470,O=C(Nc1c[nH]c2ncccc12)c1c[nH]n2ccc(=NCC3CCNCC3)nc12
CHEMBL1511387,COc1ccc(N(CC(=O)Nc2cc(C(=O)O)ccc2C)S(=O)(=O)c2c(C)noc2C)cc1
CHEMBL118237,Cc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(C(C)C)c1N
CHEMBL1874013,CCc1ccccc1NC(=O)C1CCCN1C(=O)Nc1ccc(C)cc1
CHEMBL507092,CC1SCCN1P(=O)(N1CC1)N1CC1
CHEMBL3310313,Cc1nc2ccccn2c1C(=O)NCCc1ccccc1
CHEMBL2136815,COc1cc(OC)cc(C(=O)NCC(=O)Nc2ccc(OC)c(Cl)c2)c1
CHEMBL1736880,Cn1c(=O)c2nc(SCc3ccccc3)n(C)c2n(C)c1=O
CHEMBL184190,O=S(=O)(c1ccc(OCc2c(Cl)cccc2Cl)cc1)[C@@H]1CCOC[C@]1(O)C(O)=NO
CHEMBL1617203,C=CCn1c([PH](C)(=O)=O)nc2ccccc21
CHEMBL1360215,CCNC(=S)N(Cc1c(C)noc1C)c1ccccc1
CHEMBL3264260,CCN(CC)CCCN=c1cncc(-c2ccc3[nH]cc(-c4cc[nH]c(=N)n4)c3c2)[nH]1
CHEMBL1950309,CC(NC(=O)CCN1CCN(c2cccc(F)c2)CC1)c1nc2cc(Cl)c(Cl)cc2[nH]1
CHEMBL331181,N=c1[nH]c(CNC(=O)C2CCCN2C(=O)C(N)C(C2CCCCC2)C2CCCCC2)cs1
CHEMBL1682901,CC(C)C(O)(c1ccc2c3c(ccc2c1)C(=O)N(C)C3)c1c[nH]cn1
CHEMBL4082852,CCN(C(=O)c1cc(F)ccc1-n1nccn1)[C@@H](C)Cn1nnc(-c2ccc(F)cn2)n1
CHEMBL63561,COc1ccccc1Cn1ccc2c(c1=O)c1cccc(OC)c1n2CCN1CCOCC1
CHEMBL1594555,COc1ccc(-c2csc3nc(-c4ccc(F)cc4)oc(=O)c23)cc1
CHEMBL54185,COCC(=O)OC(C)O/C(=C1/C(=O)N(C(N)=O)c2cc(Cl)c(F)cc21)c1cccs1
CHEMBL1308717,O=c1c2c3c(sc2n2cnnc2n1C1CCCCC1)CCC3
CHEMBL1202214,COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1
CHEMBL2064592,COc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)C(C)F
CHEMBL557119,Fc1ccccc1CN(c1ccc2[nH]ccc2c1)C1CCNCC1
CHEMBL1866160,CCN(CC)c1cc2c(cc1F)c(=O)c(S(=O)(=O)c1ccccc1)cn2C
CHEMBL3273887,COc1ccc(-n2ncc3c2-c2cc(OC)c(OC)cc2CC3)cc1
CHEMBL3273889,COc1cc2c(cc1OC)-c1c(cnn1S(=O)(=O)c1ccc(C)cc1)CC2
CHEMBL3261207,Cc1ccccc1NC(=O)c1cc2cc([N+](=O)[O-])ccc2oc1=O
CHEMBL222606,NC(=O)c1cccc(NC(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c1
CHEMBL1876684,O=C(OCC(=O)N1CCN(C(=O)c2ccco2)CC1)c1ccc(Cl)nc1
CHEMBL1682120,COc1nc([N+](=O)[O-])cn1CC(O)c1ccc(F)cc1
CHEMBL1867872,COc1ccc(C(=O)OCC(=O)NCc2cccs2)c(OC)c1OC
CHEMBL1897668,COc1ccccc1NC(=O)N1CCCC1C(=O)NCc1ccccc1
CHEMBL1733396,NC(=O)Cn1c(=O)n(CC(=O)N2CCCCC2)c(=O)c2sccc21
CHEMBL1435786,Cn1c(=O)c2c(ncn2CC(=O)OCC(=O)Nc2ccc(F)cc2F)n(C)c1=O
CHEMBL1872095,CSc1ncccc1C(=O)OCC(=O)NC(C)CCc1ccccc1
CHEMBL364213,O=C(N=c1[nH]cc(C2CCC2)s1)Nc1cccc2cnccc12
CHEMBL3214211,Cc1nn(C)cc1C=NNC(=O)Cn1cncn1
CHEMBL6650,CC(=O)Nc1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1
CHEMBL196988,O=c1n(CCCNCc2ccccc2)c(O)c2n1Cc1ccccc1C2
CHEMBL1431387,COCCNC(=O)C(OC(=O)c1cccs1)c1ccc(F)cc1
CHEMBL212474,N#Cc1c(Nc2cc(Cl)cc(Cl)c2)s[nH]c1=O
CHEMBL328864,CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL1344757,O=C(Cn1c(O)c2c(c1O)CCCC2)Nc1ccccc1C(=O)O
CHEMBL1875039,C=CCn1c(=O)[nH]c(O)c(C(C)=NN2CCCCC2)c1=O
CHEMBL1532034,CN(C)CCNC(=O)Cn1nc(-c2ccccc2)ccc1=O
CHEMBL1328798,COc1ccccc1N(CC(O)CN(c1ccccc1)S(C)(=O)=O)S(=O)(=O)c1ccccc1
CHEMBL17217,CCCCCC(=O)NCCNCC(O)c1ccccc1
CHEMBL3264255,CN(C)CCCOc1cncc(-c2ccc3[nH]cc(-c4cc[nH]c(=N)n4)c3c2)n1
CHEMBL3260456,COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4)oc3C)cc2)cc1
CHEMBL1864426,CCC(CO)NCc1ccccc1OC(C)C
CHEMBL176265,CCOc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(C)(=O)=O)cn2)cc1
CHEMBL99948,Cc1ccc(Cl)c(N=c2cc[nH]c(=Nc3ccc(OCC(O)CN(C)C)cc3)[nH]2)c1
CHEMBL82686,CC(C)(C)C(=O)CN1C(=O)C(=O)c2ccccc21
CHEMBL3198981,CC(CC(=O)Nc1ccc2c(c1)OCCO2)=NNC(=O)Cc1ccccc1
CHEMBL1319363,Cc1ccc(C(=O)COC(=O)CCCC(=O)NC2CCCCC2)cc1[N+](=O)[O-]
CHEMBL3827560,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCNCC1)n(C)c(=O)n2C
CHEMBL2419278,CC(N)c1ccc(C(=O)N=c2cc[nH]cc2)cc1
CHEMBL479475,C=C(C)[C@H](O)CC/C(C)=C/Cc1c(O)cc(O)c(C(=O)c2ccccc2)c1O
CHEMBL1400447,Cn1c(=O)c(=O)n(C)c2cc(S(=O)(=O)N3CCCC3C(=O)NCc3cccs3)ccc21
CHEMBL3979506,COC(=O)c1cc2occc2n1CC(=O)c1ccc2ccccc2c1
CHEMBL3976851,CCC(=O)CN1C(=O)C2(OCCO2)c2ccccc21
CHEMBL81086,Cc1c(F)c(Oc2cccc(CC(=O)O)c2)nc(Oc2cccc(C(=N)N)c2)c1F
CHEMBL3976122,COC(=O)c1cc2occc2n1CC(=O)c1cccc(Cl)c1
CHEMBL279445,CCOCCCN=C(N)N=c1[nH]c(-c2ccc(CNC(C)=O)o2)cs1
CHEMBL480131,CC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1
CHEMBL482056,O=C1OCCN1C1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1
CHEMBL176477,Cc1ccc2c(n1)Oc1ccc(C(C)C(=O)O)cc1C2
CHEMBL181045,CCOC(=O)CCCn1cnc2[nH]c(=NCc3ccc(Cl)c(Cl)c3)[nH]c(=O)c21
CHEMBL1682004,COC(=O)c1c(C)csc1NC(=O)Cc1cccc2ncccc12
CHEMBL147946,CCCCCCCCCCCCCCCCCC(O)[C@H]1OC1C(N)=O
CHEMBL3828737,CCc1ccc(N2C(=O)C(=Cc3ccc(O)cc3O)N(C)C2=S)cc1
CHEMBL97478,COc1ccc(C(=O)NC2CCN(S(=O)(=O)c3ccccc3C(O)=NO)C2)cc1
CHEMBL1889216,O=C(CN1C(=O)NC2(CCOc3ccccc32)C1=O)c1ccc(F)cc1
CHEMBL3828390,Cc1c(C(=O)CSc2nc3ccccc3[nH]2)[n+]([O-])c2ccccc2[n+]1[O-]
CHEMBL320596,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OCCCC(=O)O
CHEMBL445893,CCc1cc(CC)cc(-c2cc3c[nH]c(=N)nc3[nH]c2=NC(=O)NC(C)(C)C)c1
CHEMBL318670,NC(CCNC(=O)c1ccccc1)C(=O)N1CCCCC1
CHEMBL172757,CC(=O)c1ccc(NCc2cc3c(cc2O)CCO3)cc1
CHEMBL1202501,Oc1c2c(c(O)n1CCCCN1CCN(c3ccc(C(F)(F)F)cn3)CC1)C1CCCC2CC1
CHEMBL93285,CO[PH](=O)(=O)OCC1C=CC(n2ccc(=N)[nH]c2=O)O1
CHEMBL342714,COc1ccccc1Cc1c[nH]c(=N)[nH]c1=N
CHEMBL389270,COc1ccc2c(c1)C[C@H]1c3c(cc4c(c3-2)OCO4)CCN1C
CHEMBL100058,O=C(CCc1ccccn1)NC(CSCCCC(O)=NO)C(=O)NCc1ccccc1
CHEMBL86499,O=C1C=C(O)C(=O)C(c2c[nH]c3cc(OCc4ccccc4)ccc23)=C1O
CHEMBL100527,O=C(NC(CSCCCC(O)=NO)C(=O)NCc1ccccc1)c1cc(=O)cco1
CHEMBL1896902,CN1CCn2cnc(C(=O)NCC(=O)OC(C)(C)C)c2C1=O
CHEMBL1642983,CC(C)(C)c1cc[n+](C/C=C/C[n+]2ccc(C(C)(C)C)cc2)cc1
CHEMBL177397,CS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccc(Br)cc2)nc1
CHEMBL1391113,O=C(Cc1c(Cl)cccc1Cl)N=C1NCCS1
CHEMBL1604030,CC(C)c1ccc(NC(=O)CNC(=O)Cn2ccc3ccccc3c2=O)cc1
CHEMBL1883157,CN(C)C(CC=Nc1ccc(Br)cc1)=C(C#N)C#N
CHEMBL341660,CCCCCCCCCCCCCC(=O)C1OC1C(=O)N(C)C
CHEMBL1483267,O=C(OCC(=O)N1CCCC1=O)C1COc2ccccc2O1
CHEMBL1889924,Cc1cc(=NC(=O)CSc2nnc(CNC(=O)c3cccc(C(F)(F)F)c3)o2)[nH]o1
CHEMBL1086703,CCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1ccccc1
CHEMBL1099003,CCNC(=O)c1cc(S(N)(=O)=O)cc(F)c1SC(C)C
CHEMBL4075604,Cc1ccc(-c2ccc(N=C3CC(=O)c4ncncc4C3=O)cc2F)cc1
CHEMBL2357789,c1ccc(-c2ncnc3ccccc23)cc1
CHEMBL159650,CN(Cc1ccccc1)C[C@@H]1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)C1
CHEMBL183783,O=S(=O)(c1ccc(OCc2ccc(Cl)cc2)cc1)[C@@H]1CCOC[C@]1(O)C(O)=NO
CHEMBL1956927,CCOc1ccc(N=c2[nH]c3cc(S(=O)(=O)C(C)(C)C)ccc3o2)cc1
CHEMBL129603,CCC(C)C(NC[C@@H](N)CS)C(=O)NCc1ccc(Cl)cc1Cl
CHEMBL1643100,Cc1c(CC2CCCCC2)[nH]c(SCC(C)C)nc1=O
CHEMBL1645400,COc1ncc(C#N)cc1-c1ccc([C@@H](C)NS(=O)(=O)c2c(C)noc2C)cc1
CHEMBL1644088,NCc1ccoc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL79592,CSCCC(NC(=O)C(CS)CCc1ccccc1)C(=O)O
CHEMBL174035,O=C(CO)c1oc(O)c(O)c1O
CHEMBL424838,Cc1cc(-c2ccccc2)ccc1NC(=O)CC(N)C(=O)O
CHEMBL141646,N#CNS(=O)(=O)c1ccc(N)cc1
CHEMBL25302,COC(=O)c1c(C(N)=O)cc2cc(OC)c(OC)cc2c1-c1cc(OC)c(OC)c(OC)c1
CHEMBL1538878,CNC(=O)COc1coc(CN2CCN(c3ccccc3OC)CC2)cc1=O
CHEMBL2113120,NC(CC(=O)Nc1ccc2oc3cc(F)c(F)cc3c2c1)C(=O)O
CHEMBL1574837,CC(C)N=C(NC#N)SCc1ccc(F)cc1
CHEMBL198315,NC(CC(=O)Nc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL2113123,Cc1cc(-c2cccc(C(F)(F)F)c2)ccc1NC(=O)CC(N)C(=O)O
